Valuation Record Id,Asset Id,Component Name,Valuation Component Type,Valuation Date,Valuation Record Type,Date Built,Valuation Pattern,Valuation Pattern Index,Depreciation Method,Depreciation Calculation Method,Replacement Cost,Useful Life,Remaining Useful Life,Unit Rate,Depreciation Rate,Depreciation Effective Date,Depreciated Replacement Cost,Residual Cost (%),Is End Of Day,Project Code,Description,Comments
,294923,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1434.64,20,,89.67,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294911,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1521.36,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294913,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1521.36,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294914,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1521.36,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294889,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,1928.53,40,,1928.53,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294929,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,2062.29,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294903,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,2241.62,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294909,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,2241.62,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294910,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,2241.62,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294915,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,2331.28,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294912,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,2331.28,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294916,Cables - 6 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,2331.28,20,,89.66,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294922,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,2704.64,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294924,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,2704.64,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294923,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,2704.64,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294929,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,3887.92,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294903,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,4226,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294909,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,4226,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294910,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,4226,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294915,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,4395.04,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294912,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,4395.04,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294916,Cables - 63 Core,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,4395.04,20,,169.04,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294888,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,9641.17,40,,9641.17,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294887,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,9641.17,40,,9641.17,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294890,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,9641.17,40,,9641.17,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294891,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,9641.17,40,,9641.17,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294893,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,9641.17,40,,9641.17,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294895,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,9641.17,40,,9641.17,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294896,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,9641.17,40,,9641.17,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294899,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,9641.17,40,,9641.17,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
,294892,Pit Main,Main,13/11/2025,Constructed,13/11/2025,Standard Straight Line,0,StraightLine,Retrospective,12855.88,40,,12855.88,,,,,No,Z8290,Traffic Signal Cables and Conduits Rehabilitation - Pulteney Street/Pirie Street (TS3021),
