Asset_Category,Asset_Class,Asset_Subclass,Asset_Type,Asset_Subtype
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Central Markets,Equipment - Adelaide Central Market,BioSeparator
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Central Markets,Equipment - Adelaide Central Market,Bollards
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Central Markets,Equipment - Adelaide Central Market,Dining Furniture
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Central Markets,Equipment - Adelaide Central Market,General
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Central Markets,Equipment - Adelaide Central Market,Information Desk
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Central Markets,Equipment - Adelaide Central Market,People Counter
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Central Markets,Equipment - Adelaide Central Market,Storage compound
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Town Hall,Equipment - ATH,Kitchen
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Town Hall,Equipment - ATH,Musical
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Town Hall,Equipment - ATH,Staging
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Town Hall,Equipment - ATH,Venue
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Town Hall,Furniture - ATH,Chambers
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Town Hall,Furniture - ATH,Musical
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Adelaide Town Hall,Furniture - ATH,Venue
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Arts and Culture,Equipment - Arts and Culture,Projector
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",City Archives,Equipment - City Archives,Film Reader
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",CLC Equipment,Customer Centre,Folding Machine
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Commercial Off-Street Parking,Equipment - Off-Street Parking,Car Park Equipment
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Commercial Off-Street Parking,Equipment - Off-Street Parking,Entry/Exit
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Commercial Off-Street Parking,Equipment - Off-Street Parking,Intercom Equipment
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Commercial Off-Street Parking,Equipment - Off-Street Parking,On Prem
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Commercial Off-Street Parking,Equipment - Off-Street Parking,Ticket Machines
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Events,Christmas Decorations - AEDA,Christmas Trees
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Events,Christmas Decorations - AEDA,Decorative Lighting
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Events,Christmas Decorations - AEDA,Mall Decorations
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Events,Christmas Decorations - CoA,Bows / Garlands
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Events,Christmas Decorations - CoA,Decorative Lighting
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Events,Christmas Decorations - CoA,Other Decorations
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Events,Christmas Decorations - CoA,Park Lands  / Squares Decorations
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Events,Christmas Decorations - CoA,Street Decorations
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Events,Equipment - Events,Containers
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Events,Equipment - Events,Mobile Items
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Equipment - ICT,Fast Charging Table
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Equipment - ICT,Laptop
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Equipment - ICT,Library Equipment
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Equipment - ICT,Monitor
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Equipment - ICT,Printer/MFD
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Equipment - ICT,Scanner
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Equipment - ICT,Workstation
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Data
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Disk Storage
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Firewall
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Network Switch
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Optical Fibre
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Server
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Traffic Control Boxes
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Uniterrupted Power Supply
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Wireless Access Point
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Telecommunications,Cabling
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Telecommunications,Camera
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Telecommunications,Gateway
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Telecommunications,Meeting Room Equipment
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Telecommunications,Mobile Phone
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Telecommunications,PIO
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings","Information, Communications and Technology",Telecommunications,Tablets
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Libraries,Equipment - Libraries,Bike Trailer
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Libraries,Equipment - Libraries,Display
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Libraries,Equipment - Libraries,Fan
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Libraries,Equipment - Libraries,Other
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Libraries,Equipment - Libraries,Wireless Hotspot
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Libraries,Furniture - Libraries,Tables/Chairs
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",North Adelaide Golf Course,Golf Course,Fuel Tanks
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",North Adelaide Golf Course,Golf Course,Golf Equipment
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Nursery,Equipment - Nursery,Boom Gate
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Regulatory Services,Equipment - Regulatory Services,PIO
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Sustainability,Equipment - Sustainability,Hubs
"Fleet, Plant and Equipment","Equipment, Furniture and Fittings",Sustainability,Equipment - Sustainability,Sensor
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Heavy Fleet,Suction Sweeper
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Heavy Fleet,Truck
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Heavy Fleet,Truck - Compactor
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Heavy Fleet,Truck - Crane
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Heavy Fleet,Truck - EWP
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Fleet,Light Fleet,Golf Cart
